"Run" "Method" "K" "BalancedAccuracy"
"188" 38 "Dice" "K=5" 0.877046352281219
"189" 39 "Dice" "K=5" 0.842289750699889
"190" 40 "Dice" "K=5" 0.705868601427812
"191" 41 "Dice" "K=5" 0.787460849442416
"192" 42 "Dice" "K=5" 0.77526395173454
"193" 43 "Dice" "K=5" 0.759987053860207
"194" 44 "Dice" "K=5" 0.796588693957115
"195" 45 "Dice" "K=5" 0.811348684210526
"196" 46 "Dice" "K=5" 0.853408488063661
"197" 47 "Dice" "K=5" 0.74405030077299
"198" 48 "Dice" "K=5" 0.744399271012815
"199" 49 "Dice" "K=5" 0.728481405900761
"200" 50 "Dice" "K=5" 0.778571428571429
"201" 1 "PageRank" "K=5" 0.854574828186321
"202" 2 "PageRank" "K=5" 0.906445696781831
"203" 3 "PageRank" "K=5" 0.814887726071937
"204" 4 "PageRank" "K=5" 0.796180671180671
"205" 5 "PageRank" "K=5" 0.807376372031544
"206" 6 "PageRank" "K=5" 0.775777322652323
"207" 7 "PageRank" "K=5" 0.86703431372549
"208" 8 "PageRank" "K=5" 0.897864057239057
"209" 9 "PageRank" "K=5" 0.832062701799544
"210" 10 "PageRank" "K=5" 0.84272632129775
"211" 11 "PageRank" "K=5" 0.8
"212" 12 "PageRank" "K=5" 0.810401034085245
"213" 13 "PageRank" "K=5" 0.873333333333333
"214" 14 "PageRank" "K=5" 0.725773813016376
"215" 15 "PageRank" "K=5" 0.846331522177387
"216" 16 "PageRank" "K=5" 0.807866795366795
"217" 17 "PageRank" "K=5" 0.834383635370477
"218" 18 "PageRank" "K=5" 0.796130233317733
"219" 19 "PageRank" "K=5" 0.7909987687535
"220" 20 "PageRank" "K=5" 0.815580618212197
"221" 21 "PageRank" "K=5" 0.79622833253348
"222" 22 "PageRank" "K=5" 0.908036731786732
"223" 23 "PageRank" "K=5" 0.785784597239706
"224" 24 "PageRank" "K=5" 0.85406037414966
"225" 25 "PageRank" "K=5" 0.828125
"226" 26 "PageRank" "K=5" 0.734570348409634
"227" 27 "PageRank" "K=5" 0.740020505809979
"228" 28 "PageRank" "K=5" 0.818977356829019
"229" 29 "PageRank" "K=5" 0.7996567996568
"230" 30 "PageRank" "K=5" 0.920897820508499
"231" 31 "PageRank" "K=5" 0.853668770139635
"232" 32 "PageRank" "K=5" 0.836034413765506
"233" 33 "PageRank" "K=5" 0.8252442002442
"234" 34 "PageRank" "K=5" 0.754927181736392
"235" 35 "PageRank" "K=5" 0.853768200139168
"236" 36 "PageRank" "K=5" 0.911669876283847
"237" 37 "PageRank" "K=5" 0.924655803966149
"238" 38 "PageRank" "K=5" 0.917166866746699
"239" 39 "PageRank" "K=5" 0.953222438936725
"240" 40 "PageRank" "K=5" 0.715764790764791
"241" 41 "PageRank" "K=5" 0.78231323768205
"242" 42 "PageRank" "K=5" 0.848308823529412
"243" 43 "PageRank" "K=5" 0.898773802450273
"244" 44 "PageRank" "K=5" 0.729330842118566
"245" 45 "PageRank" "K=5" 0.751353874883287
"246" 46 "PageRank" "K=5" 0.851732501732502
"247" 47 "PageRank" "K=5" 0.700036483891802
"248" 48 "PageRank" "K=5" 0.90735139264551
"249" 49 "PageRank" "K=5" 0.76465367965368
"250" 50 "PageRank" "K=5" 0.947888888888889
"251" 1 "TopKGraphs" "K=7" 0.784610416154409
"252" 2 "TopKGraphs" "K=7" 0.868736015923838
"253" 3 "TopKGraphs" "K=7" 0.938492063492063
"254" 4 "TopKGraphs" "K=7" 0.75843149540518
"255" 5 "TopKGraphs" "K=7" 0.832010582010582
"256" 6 "TopKGraphs" "K=7" 0.838666020808878
"257" 7 "TopKGraphs" "K=7" 0.874893272298284
"258" 8 "TopKGraphs" "K=7" 0.915694496339658
"259" 9 "TopKGraphs" "K=7" 0.740205889822258
"260" 10 "TopKGraphs" "K=7" 0.88146645021645
"261" 11 "TopKGraphs" "K=7" 0.922368421052632
"262" 12 "TopKGraphs" "K=7" 0.707593462887581
"263" 13 "TopKGraphs" "K=7" 0.888579620045786
"264" 14 "TopKGraphs" "K=7" 0.783344470844471
"265" 15 "TopKGraphs" "K=7" 0.833956043956044
"266" 16 "TopKGraphs" "K=7" 0.854417187750521
"267" 17 "TopKGraphs" "K=7" 0.770555555555556
"268" 18 "TopKGraphs" "K=7" 0.726755518715257
"269" 19 "TopKGraphs" "K=7" 0.817110809377514
"270" 20 "TopKGraphs" "K=7" 0.780168935156147
"271" 21 "TopKGraphs" "K=7" 0.850352837127031
"272" 22 "TopKGraphs" "K=7" 0.774717098377813
"273" 23 "TopKGraphs" "K=7" 0.806248728123728
"274" 24 "TopKGraphs" "K=7" 0.894844694621859
"275" 25 "TopKGraphs" "K=7" 0.83279754784689
"276" 26 "TopKGraphs" "K=7" 0.896987519755377
"277" 27 "TopKGraphs" "K=7" 0.733790941027783
"278" 28 "TopKGraphs" "K=7" 0.83153758597307
"279" 29 "TopKGraphs" "K=7" 0.791588527302813
"280" 30 "TopKGraphs" "K=7" 0.809744626718311
"281" 31 "TopKGraphs" "K=7" 0.863656538272907
"282" 32 "TopKGraphs" "K=7" 0.834390793030499
"283" 33 "TopKGraphs" "K=7" 0.750168977755185
"284" 34 "TopKGraphs" "K=7" 0.79873662881098
"285" 35 "TopKGraphs" "K=7" 0.814624572957906
"286" 36 "TopKGraphs" "K=7" 0.794647527490665
"287" 37 "TopKGraphs" "K=7" 0.772088675213675
"288" 38 "TopKGraphs" "K=7" 0.794182664794619
"289" 39 "TopKGraphs" "K=7" 0.879560915275201
"290" 40 "TopKGraphs" "K=7" 0.756464646464647
"291" 41 "TopKGraphs" "K=7" 0.836877175112469
"292" 42 "TopKGraphs" "K=7" 0.683114035087719
"293" 43 "TopKGraphs" "K=7" 0.843374572051043
"294" 44 "TopKGraphs" "K=7" 0.798566711066711
"295" 45 "TopKGraphs" "K=7" 0.858820662768031
"296" 46 "TopKGraphs" "K=7" 0.820960612315102
"297" 47 "TopKGraphs" "K=7" 0.769767640873651
"298" 48 "TopKGraphs" "K=7" 0.866988566988567
"299" 49 "TopKGraphs" "K=7" 0.790422945649412
"300" 50 "TopKGraphs" "K=7" 0.883799709886666
"301" 1 "Node2Vec" "K=7" 0.881070356070356
"302" 2 "Node2Vec" "K=7" 0.864871759514617
"303" 3 "Node2Vec" "K=7" 0.829351916851917
"304" 4 "Node2Vec" "K=7" 0.764747893565628
"305" 5 "Node2Vec" "K=7" 0.806048934725405
"306" 6 "Node2Vec" "K=7" 0.743465431811297
"307" 7 "Node2Vec" "K=7" 0.902695187165775
"308" 8 "Node2Vec" "K=7" 0.962337662337662
"309" 9 "Node2Vec" "K=7" 0.79740608417079
"310" 10 "Node2Vec" "K=7" 0.841262070079804
"311" 11 "Node2Vec" "K=7" 0.918417366946779
"312" 12 "Node2Vec" "K=7" 0.837800422175422
"313" 13 "Node2Vec" "K=7" 0.935009398496241
"314" 14 "Node2Vec" "K=7" 0.787627369788495
"315" 15 "Node2Vec" "K=7" 0.891759141759142
"316" 16 "Node2Vec" "K=7" 0.708935883935884
"317" 17 "Node2Vec" "K=7" 0.671644828566011
"318" 18 "Node2Vec" "K=7" 0.801051302212293
"319" 19 "Node2Vec" "K=7" 0.882282003710575
"320" 20 "Node2Vec" "K=7" 0.85785185230674
"321" 21 "Node2Vec" "K=7" 0.881221378533206
"322" 22 "Node2Vec" "K=7" 0.86610060690943
"323" 23 "Node2Vec" "K=7" 0.914529914529915
"324" 24 "Node2Vec" "K=7" 0.917592592592593
"325" 25 "Node2Vec" "K=7" 0.786901782656636
"326" 26 "Node2Vec" "K=7" 0.905660911800618
"327" 27 "Node2Vec" "K=7" 0.727237676153604
"328" 28 "Node2Vec" "K=7" 0.88957930957931
"329" 29 "Node2Vec" "K=7" 0.902835648148148
"330" 30 "Node2Vec" "K=7" 0.86966197415582
"331" 31 "Node2Vec" "K=7" 0.895270130984417
"332" 32 "Node2Vec" "K=7" 0.891398350388498
"333" 33 "Node2Vec" "K=7" 0.770069387004871
"334" 34 "Node2Vec" "K=7" 0.844854328735908
"335" 35 "Node2Vec" "K=7" 0.857607036866672
"336" 36 "Node2Vec" "K=7" 0.834945012549179
"337" 37 "Node2Vec" "K=7" 0.972030651340996
"338" 38 "Node2Vec" "K=7" 0.825876809056956
"339" 39 "Node2Vec" "K=7" 0.900425170068027
"340" 40 "Node2Vec" "K=7" 0.706463675213675
"341" 41 "Node2Vec" "K=7" 0.89350426972976
"342" 42 "Node2Vec" "K=7" 0.846545489598121
"343" 43 "Node2Vec" "K=7" 0.805923633821345
"344" 44 "Node2Vec" "K=7" 0.855492737635595
"345" 45 "Node2Vec" "K=7" 0.852012844611529
"346" 46 "Node2Vec" "K=7" 0.783803899356895
"347" 47 "Node2Vec" "K=7" 0.879148443002932
"348" 48 "Node2Vec" "K=7" 0.864122075704737
"349" 49 "Node2Vec" "K=7" 0.79881838591516
"350" 50 "Node2Vec" "K=7" 0.989337822671156
"351" 1 "Jaccard" "K=7" 0.815755849089182
"352" 2 "Jaccard" "K=7" 0.725856706602857
"353" 3 "Jaccard" "K=7" 0.872564102564103
"354" 4 "Jaccard" "K=7" 0.708785387952055
"355" 5 "Jaccard" "K=7" 0.788372808545222
"356" 6 "Jaccard" "K=7" 0.799673076787047
"357" 7 "Jaccard" "K=7" 0.903858024691358
"358" 8 "Jaccard" "K=7" 0.904344729344729
"359" 9 "Jaccard" "K=7" 0.812124218374218
"360" 10 "Jaccard" "K=7" 0.818945238069662
"361" 11 "Jaccard" "K=7" 0.87962962962963
"362" 12 "Jaccard" "K=7" 0.743092891278375
"363" 13 "Jaccard" "K=7" 0.821528408934424
"364" 14 "Jaccard" "K=7" 0.698477118119975
"365" 15 "Jaccard" "K=7" 0.766965490969875
"366" 16 "Jaccard" "K=7" 0.837252400960384
"367" 17 "Jaccard" "K=7" 0.740007201440958
"368" 18 "Jaccard" "K=7" 0.672842897842898
"369" 19 "Jaccard" "K=7" 0.819589801732659
"370" 20 "Jaccard" "K=7" 0.837142174642175
"371" 21 "Jaccard" "K=7" 0.670726397338726
"372" 22 "Jaccard" "K=7" 0.759973544973545
"373" 23 "Jaccard" "K=7" 0.920201662137146
"374" 24 "Jaccard" "K=7" 0.823680182198327
"375" 25 "Jaccard" "K=7" 0.738615145457818
"376" 26 "Jaccard" "K=7" 0.789289360676829
"377" 27 "Jaccard" "K=7" 0.672733625674802
"378" 28 "Jaccard" "K=7" 0.864771021021021
"379" 29 "Jaccard" "K=7" 0.777983995171495
"380" 30 "Jaccard" "K=7" 0.874079363734536
"381" 31 "Jaccard" "K=7" 0.842216949569891
"382" 32 "Jaccard" "K=7" 0.898579884870207
"383" 33 "Jaccard" "K=7" 0.738090906874936
"384" 34 "Jaccard" "K=7" 0.77705540986791
"385" 35 "Jaccard" "K=7" 0.749283571864217
"386" 36 "Jaccard" "K=7" 0.854147521581732
"387" 37 "Jaccard" "K=7" 0.815589569160998
"388" 38 "Jaccard" "K=7" 0.848038238278386
"389" 39 "Jaccard" "K=7" 0.821487037866348
"390" 40 "Jaccard" "K=7" 0.911375661375661
"391" 41 "Jaccard" "K=7" 0.748565515973382
"392" 42 "Jaccard" "K=7" 0.744398863148863
"393" 43 "Jaccard" "K=7" 0.778731837772228
"394" 44 "Jaccard" "K=7" 0.699507328183799
"395" 45 "Jaccard" "K=7" 0.78031601015472
"396" 46 "Jaccard" "K=7" 0.779576344707924
"397" 47 "Jaccard" "K=7" 0.691826313858877
"398" 48 "Jaccard" "K=7" 0.845505809979494
"399" 49 "Jaccard" "K=7" 0.762083333333333
