"Run" "Method" "Metric" "Score"
"455" 5 "PageRank" "NMI" 0.485854339580439
"456" 6 "PageRank" "NMI" 0.43897890061413
"457" 7 "PageRank" "NMI" 0.427901823009007
"458" 8 "PageRank" "NMI" 0.369544783832429
"459" 9 "PageRank" "NMI" 0.611054692273739
"460" 10 "PageRank" "NMI" 0.382615915495159
"461" 11 "PageRank" "NMI" 0.518082332012387
"462" 12 "PageRank" "NMI" 0.303613316439276
"463" 13 "PageRank" "NMI" 0.431026468057813
"464" 14 "PageRank" "NMI" 0.32792755909623
"465" 15 "PageRank" "NMI" 0.452809170975829
"466" 16 "PageRank" "NMI" 0.361418792448824
"467" 17 "PageRank" "NMI" 0.427957139152109
"468" 18 "PageRank" "NMI" 0.395575803461132
"469" 19 "PageRank" "NMI" 0.556360971944386
"470" 20 "PageRank" "NMI" 0.420568178998884
"471" 21 "PageRank" "NMI" 0.374509823057059
"472" 22 "PageRank" "NMI" 0.388423489183363
"473" 23 "PageRank" "NMI" 0.605848150310609
"474" 24 "PageRank" "NMI" 0.268737866242869
"475" 25 "PageRank" "NMI" 0.299782550449735
"476" 26 "PageRank" "NMI" 0.406550567368457
"477" 27 "PageRank" "NMI" 0.300242791988285
"478" 28 "PageRank" "NMI" 0.316515593057266
"479" 29 "PageRank" "NMI" 0.258855132169399
"480" 30 "PageRank" "NMI" 0.360165809068491
"481" 31 "PageRank" "NMI" 0.309873745819159
"482" 32 "PageRank" "NMI" 0.323487971065356
"483" 33 "PageRank" "NMI" 0.503078205668898
"484" 34 "PageRank" "NMI" 0.419752048601625
"485" 35 "PageRank" "NMI" 0.237146017930304
"486" 36 "PageRank" "NMI" 0.453883757368387
"487" 37 "PageRank" "NMI" 0.363546440544135
"488" 38 "PageRank" "NMI" 0.313991325789817
"489" 39 "PageRank" "NMI" 0.398019311755494
"490" 40 "PageRank" "NMI" 0.428884839499586
"491" 41 "PageRank" "NMI" 0.311484840320097
"492" 42 "PageRank" "NMI" 0.46987193369061
"493" 43 "PageRank" "NMI" 0.34705677700237
"494" 44 "PageRank" "NMI" 0.250011867426513
"495" 45 "PageRank" "NMI" 0.540705009236497
"496" 46 "PageRank" "NMI" 0.334642168971088
"497" 47 "PageRank" "NMI" 0.34312693418506
"498" 48 "PageRank" "NMI" 0.523872040606156
"499" 49 "PageRank" "NMI" 0.294649448074825
"500" 50 "PageRank" "NMI" 0.45478910650651
"501" 1 "TopKGraphs" "AMI" 0.45822900334268
"502" 2 "TopKGraphs" "AMI" 0.485035433039583
"503" 3 "TopKGraphs" "AMI" 0.478374121545088
"504" 4 "TopKGraphs" "AMI" 0.295521729870043
"505" 5 "TopKGraphs" "AMI" 0.464389860840564
"506" 6 "TopKGraphs" "AMI" 0.453434366171121
"507" 7 "TopKGraphs" "AMI" 0.580538347721693
"508" 8 "TopKGraphs" "AMI" 0.399253427389184
